id_estudiante,Semestre,Comunicacion Oral y Escrita,"Etica, Identidad y Profesion",Desafios Eticos Contemporaneos
00000324,4,7.9,6.5,10
00000325,5,5,10,9.5
00000326,6,5,7.7,5
00000327,7,10,5.7,10
00000328,8,6.8,10,10
00000329,9,8.5,8.5,8.3
00003210,10,8.1,10,7.6
00000331,1,9.4,10,7.2
00000332,2,5,7.4,10
00000333,3,8.9,5,9.9
00000334,4,8.1,10,6.3
00000335,5,9.8,9.2,10
00000336,6,10,9.3,9.9
00000337,7,8.8,10,6.0
00000338,8,7.2,10,9.9
00000339,9,10,10,10
00003310,10,10,7.2,5
00000341,1,10,6.8,5
00000342,2,7.3,10,5.5
00000343,3,8.1,9.3,5
00000344,4,7.7,10,9.7
00000345,5,8.6,10,5.9
00000346,6,7.1,5.7,10
00000347,7,7.1,5,7.6
00000348,8,6.3,5,10
00000349,9,10,7.2,6.7
00003410,10,8.9,5,6.7
00000351,1,5.8,8.3,8.2
00000352,2,7.1,6.2,7.1
00000353,3,5,10,7.5
00000354,4,5,5,7.4
00000355,5,5,9.0,8.6
00000356,6,8.7,5.8,5
00000357,7,5,9.0,10
00000358,8,9.8,10,5.0
00000359,9,10,10,9.4
00003510,10,10,10,8.0
00000361,1,9.6,10,10
00000362,2,7.7,7.1,10
00000363,3,9.2,7.0,10
00000364,4,8.5,9.6,5.4
00000365,5,5,10,7.8
00000366,6,5.9,5.5,8.9
00000367,7,7.4,10,5.7
00000368,8,7.0,10,9.8
00000369,9,6.9,10,5.6
00003610,10,10,10,5
00000371,1,5.9,8.6,10
00000372,2,5.4,8.7,10
00000373,3,5.6,10,9.3
00000374,4,7.2,9.8,8.3
00000375,5,10,8.1,5
00000376,6,7.3,5,9.5
00000377,7,9.9,9.5,5.6
00000378,8,10,8.2,8.0
00000379,9,6.1,9.1,10
00003710,10,6.0,10,9.5
00000381,1,8.2,10,6.2
00000382,2,5.7,5,8.0
00000383,3,7.5,6.9,8.1
00000384,4,10,8.4,10
00000385,5,10,5.3,7.9
00000386,6,5.4,5,10
00000387,7,5.8,10,7.2
00000388,8,9.5,7.4,6.5
00000389,9,10.0,10,7.4
00003810,10,5,8.5,5
00000391,1,10,5,10
00000392,2,10,10,6.0
00000393,3,5,9.5,9.2
00000394,4,10,10,5
00000395,5,10,9.6,10
00000396,6,7.9,5.6,7.3
00000397,7,8.4,10,8.0
00000398,8,6.7,8.2,5.3
00000399,9,9.2,6.8,7.4
00003910,10,9.1,8.5,8.0
00000401,1,10,10,5.7
00000402,2,5,10,8.8
00000403,3,5,7.4,10
00000404,4,5.6,6.6,8.3
00000405,5,7.5,10,5
00000406,6,10,6.3,6.9
00000407,7,7.6,6.9,5.3
00000408,8,7.9,7.8,5.0
00000409,9,7.3,9.2,10
00004010,10,9.6,9.9,10
00000411,1,7.9,6.8,8.5
00000412,2,10,7.7,8.4
00000413,3,7.8,10,8.6
00000414,4,8.1,9.0,7.8
00000415,5,10,5,6.4
00000416,6,10,7.7,8.6
00000417,7,5,6.7,10
00000418,8,7.2,5,9.9
00000419,9,8.5,8.3,8.2
00004110,10,10,7.8,7.7
00000421,1,7.0,5.5,6.3
00000422,2,5,5.8,6.1
00000423,3,9.9,10,5
00000424,4,5.8,10,7.3
00000425,5,10,8.2,5
00000426,6,5.9,5,5
00000427,7,7.0,9.0,10
00000428,8,8.6,5,10
00000429,9,8.0,7.8,9.7
00004210,10,8.4,5,10
00000431,1,8.3,10,6.9
00000432,2,7.5,6.6,8.3
00000433,3,9.3,5,10
00000434,4,8.8,10,9.5
00000435,5,10,10,5
00000436,6,10,10,5
00000437,7,7.7,9.5,9.2
00000438,8,9.9,5.0,5
00000439,9,5.0,5.8,5.3
00004310,10,8.4,10,10
00000441,1,10,7.0,8.8
00000442,2,9.4,10,7.6
00000443,3,5,6.3,6.5
00000444,4,10,10,6.4
00000445,5,9.7,5,10
00000446,6,8.9,5.1,10
00000447,7,9.5,10,7.1
00000448,8,10,10,9.1
00000449,9,5.4,5.4,7.3
00004410,10,5,5,5
00000451,1,7.0,9.4,5
00000452,2,5,8.8,6.8
00000453,3,9.0,5.1,6.8
00000454,4,10,8.7,10
00000455,5,10,10,9.5
00000456,6,8.3,5,5
00000457,7,5,10,10
00000458,8,10,10,10
00000459,9,8.8,8.6,10
00004510,10,7.5,7.6,7.7
00000461,1,7.9,5.1,6.2
00000462,2,8.9,5.4,5
00000463,3,10,7.9,8.9
00000464,4,7.8,6.5,9.8
00000465,5,10,8.4,10
00000466,6,9.9,10,9.6
00000467,7,8.0,9.3,10
00000468,8,7.2,8.6,5.7
00000469,9,5,8.4,9.2
00004610,10,6.2,8.3,10
00000471,1,10,8.3,10
00000472,2,6.8,5,7.6
00000473,3,5,6.3,7.1
00000474,4,10,7.8,10
00000475,5,9.3,6.6,5
00000476,6,6.1,8.5,5.9
00000477,7,8.9,5.3,8.4
00000478,8,5,9.7,9.6
00000479,9,5.6,10,7.1
00004710,10,10,6.6,10
00000481,1,10,5.1,10
00000482,2,6.4,7.2,8.0
00000483,3,7.8,5,5
00000484,4,10,5.7,5.2
00000485,5,10,8.6,10
00000486,6,5.4,8.6,5
00000487,7,5,7.8,7.8
00000488,8,10,7.9,8.1
00000489,9,7.4,5.8,9.2
00004810,10,5.7,8.1,5
00000491,1,7.8,10,5.4
00000492,2,5.9,5,8.0
00000493,3,5,10,5.1
00000494,4,10,9.2,5.6
00000495,5,8.3,10,5.5
00000496,6,5.5,8.5,8.2
00000497,7,10,10,10
00000498,8,10,7.1,5.2
00000499,9,9.6,10,5.5
00004910,10,5,5,10.0
00000501,1,9.2,6.4,10
00000502,2,5.6,5,10
00000503,3,10,5.4,10
00000504,4,10,9.6,10
00000505,5,7.7,7.7,8.5
00000506,6,5,7.1,5
00000507,7,8.2,10,10
00000508,8,6.7,10,5.3
00000509,9,6.6,5,10
00005010,10,10,5.0,10
00000511,1,8.6,7.4,5
00000512,2,9.2,10,7.5
00000513,3,5,6.2,6.4
00000514,4,5,10,5.5
00000515,5,5.0,9.4,5
00000516,6,8.5,10,5.1
00000517,7,10,6.9,10
00000518,8,10,9.8,6.6
00000519,9,5,8.6,5.4
00005110,10,5.4,6.8,10
00000521,1,7.3,7.5,8.5
00000522,2,5,5.2,10
00000523,3,6.4,5.7,5
00000524,4,10,5.9,10
00000525,5,7.2,7.2,7.8
00000526,6,10,10,10
00000527,7,9.8,5,10
00000528,8,9.8,9.5,8.3
00000529,9,5.7,5.5,10
00005210,10,5,8.9,10
00000531,1,8.5,10,10
00000532,2,10,10,8.9
00000533,3,10,5,6.7
00000534,4,5,9.8,8.2
00000535,5,5,9.8,6.1
00000536,6,5,8.9,5
00000537,7,8.1,7.4,9.3
00000538,8,10,5.1,7.9
00000539,9,10,10,10
00005310,10,10,5,5
00000541,1,8.3,10,5
00000542,2,5,5,10
00000543,3,10,6.0,10
00000544,4,5,10,5.5
00000545,5,10,10.0,10
00000546,6,5,5,9.6
00000547,7,6.3,5.5,6.9
00000548,8,5,10,7.7
00000549,9,5,5,10
00005410,10,5,10,5.5
00000551,1,5,6.6,9.4
00000552,2,9.7,6.0,7.8
00000553,3,10,6.6,7.8
00000554,4,6.1,7.9,6.4
00000555,5,8.4,5.4,9.7
00000556,6,6.2,5,10
00000557,7,10,10,8.1
00000558,8,7.8,10,6.4
00000559,9,5.4,10,10
00005510,10,8.0,10,6.4
00000561,1,10,6.5,5
00000562,2,5.2,7.9,6.8
00000563,3,6.8,8.6,8.3
00000564,4,5.5,10,10
00000565,5,5,6.9,6.9
00000566,6,8.4,7.5,10
00000567,7,10,5,10
00000568,8,10,5,5
00000569,9,6.5,10,10
00005610,10,7.2,9.6,9.9
00000571,1,7.4,7.2,8.8
00000572,2,5,10,10
00000573,3,5.7,10,5
00000574,4,6.1,5,6.9
00000575,5,6.0,7.4,9.9
00000576,6,7.6,9.7,5
00000577,7,6.6,7.7,5.0
00000578,8,5.1,5,7.9
00000579,9,5.6,10,7.1
00005710,10,5,7.3,9.3
00000581,1,10,9.6,7.8
00000582,2,8.9,8.3,5
00000583,3,10,8.5,9.0
00000584,4,9.7,10,7.0
00000585,5,6.3,8.0,5.9
00000586,6,5.6,7.6,5
00000587,7,8.8,7.9,7.5
00000588,8,8.7,9.4,8.3
00000589,9,10,9.2,5.7
00005810,10,7.7,7.5,6.9
00000591,1,5.7,8.2,5
00000592,2,7.6,10,5
00000593,3,9.4,5.6,8.5
00000594,4,5,6.3,10
00000595,5,10,5.1,5
00000596,6,5,5,9.8
00000597,7,5,8.9,8.7
00000598,8,10,10,9.8
00000599,9,10,6.5,10
00005910,10,9.3,5.4,10
00000601,1,10,7.5,10
00000602,2,7.8,7.3,7.8
00000603,3,8.4,7.1,5.8
00000604,4,10,10,8.7
00000605,5,7.4,9.5,9.2
00000606,6,10,7.6,5
00000607,7,10,5,6.0
00000608,8,6.0,9.9,10
00000609,9,10,10,9.5
00006010,10,8.9,8.1,5
00000611,1,8.2,9.3,6.1
00000612,2,9.2,7.8,9.4
00000613,3,10,5,9.0
00000614,4,5.8,7.4,5.7
00000615,5,5,7.4,6.2
00000616,6,6.6,5.5,7.2
00000617,7,5.6,7.2,6.8
00000618,8,6.3,7.5,10
00000619,9,10,7.8,5
00006110,10,10,8.6,8.9
00000621,1,10,9.2,6.9
00000622,2,5,6.9,5
00000623,3,5,9.0,10
00000624,4,7.4,8.2,6.8
00000625,5,8.8,10,10
00000626,6,5.0,10,10.0
00000627,7,8.4,5,8.5
00000628,8,7.7,7.0,9.3
00000629,9,8.5,8.0,10.0
00006210,10,7.9,9.3,8.4
00000631,1,7.2,7.6,6.0
00000632,2,7.6,6.0,5
00000633,3,8.1,8.9,6.4
00000634,4,8.0,5,6.2
00000635,5,10,10,8.2
00000636,6,5,8.7,10
00000637,7,8.7,5,5
00000638,8,5.7,9.4,10
00000639,9,8.3,5,9.3
00006310,10,5,8.3,9.3
00000641,1,5.3,5,10
00000642,2,6.8,10,5
00000643,3,7.5,7.3,10.0
00000644,4,10,10,10
00000645,5,7.0,10,8.1
00000646,6,10,5.3,5
00000647,7,10,8.4,5.8
00000648,8,5.9,10,9.5
00000649,9,6.8,6.3,10
00006410,10,5.1,10,9.3
00000651,1,8.5,8.1,8.9
00000652,2,5,10,8.6
00000653,3,10,7.2,10
00000654,4,5,7.0,10
00000655,5,8.8,7.8,6.5
00000656,6,5,10,8.9
00000657,7,5,5.3,9.5
00000658,8,8.6,9.7,7.0
00000659,9,10,5.2,5.1
00006510,10,8.4,7.9,10
00000661,1,6.0,10,7.7
00000662,2,5.8,5,9.6
00000663,3,10,9.8,5
00000664,4,10,7.0,10
00000665,5,10,7.0,5.4
00000666,6,10,6.8,7.9
00000667,7,8.8,5.0,10
00000668,8,9.1,8.4,5.0
00000669,9,10,8.6,10
00006610,10,10,7.5,10
00000671,1,8.6,7.7,9.8
00000672,2,6.5,5,10
00000673,3,10,7.3,5.7
00000674,4,6.3,9.3,8.8
00000675,5,10,6.8,7.5
00000676,6,5.0,7.7,9.2
00000677,7,7.9,7.0,5.0
00000678,8,8.0,7.7,9.1
00000679,9,10,7.5,7.9
00006710,10,6.4,10,5.3
00000681,1,8.3,5,7.0
00000682,2,5,7.8,9.9
00000683,3,5,5,10
00000684,4,9.0,9.0,5
00000685,5,5.0,10,5.1
00000686,6,5.7,9.1,5.3
00000687,7,7.8,5.1,5
00000688,8,8.1,5.2,8.5
00000689,9,5.4,10,7.8
00006810,10,5.9,10,7.9
00000691,1,8.8,5,8.7
00000692,2,10,10,6.1
00000693,3,8.7,9.2,5
00000694,4,7.1,5,10
00000695,5,7.8,5,9.2
00000696,6,10,5.8,5
00000697,7,9.3,6.0,5.7
00000698,8,9.9,10,5
00000699,9,5,8.8,5
00006910,10,7.1,7.6,8.9
00000701,1,9.1,5.7,9.3
00000702,2,7.7,6.2,7.1
00000703,3,10,9.6,10
00000704,4,6.1,10,5
00000705,5,8.9,7.1,9.7
00000706,6,10,10,7.8
00000707,7,10,5,8.6
00000708,8,6.0,10,10
00000709,9,10,8.9,10
00007010,10,10,6.1,9.0
00000711,1,10,6.8,5
00000712,2,9.1,5.2,7.6
00000713,3,9.1,5.1,8.0
00000714,4,9.2,7.0,6.5
00000715,5,8.1,10,7.7
00000716,6,8.6,8.9,5.9
00000717,7,8.7,9.1,10
00000718,8,9.5,8.7,10
00000719,9,9.4,5.1,8.8
00007110,10,10,8.9,8.7
00000721,1,7.0,10,8.5
00000722,2,5.7,5.8,8.0
00000723,3,5,8.0,10
00000724,4,7.9,5,10
00000725,5,10,10,5.2
00000726,6,6.4,10,8.3
00000727,7,5.6,7.8,10
00000728,8,7.9,5,6.5
00000729,9,9.0,10,6.9
00007210,10,7.0,10,5
00000731,1,10,9.2,5.1
00000732,2,8.2,8.1,6.7
00000733,3,6.3,10,6.4
00000734,4,6.3,9.0,5
00000735,5,5.7,6.9,8.6
00000736,6,10,5.7,9.6
00000737,7,5,5,7.0
00000738,8,7.9,10,9.2
00000739,9,7.6,10,5
00007310,10,7.7,6.1,10
00000741,1,9.4,5,8.3
00000742,2,10,7.1,10
00000743,3,10,7.3,8.0
00000744,4,5,7.3,10
00000745,5,8.7,8.8,10
00000746,6,7.0,10,9.6
00000747,7,9.8,9.1,10
00000748,8,7.5,10,5
00000749,9,6.9,5,10
00007410,10,8.5,5,9.4
00000751,1,5,5,5
00000752,2,10,10,6.5
00000753,3,10,6.7,8.8
00000754,4,8.8,6.1,10
00000755,5,7.0,5,7.4
00000756,6,5,10,5
00000757,7,10,7.3,9.1
00000758,8,5.6,5.0,7.6
00000759,9,10,5,10
00007510,10,6.8,9.6,8.3
00000761,1,6.6,6.7,7.3
00000762,2,10,7.8,5.9
00000763,3,10,10,5.8
00000764,4,7.1,8.1,6.4
00000765,5,6.0,9.3,6.9
00000766,6,5,8.0,10
00000767,7,10,9.7,5
00000768,8,5.7,5,8.1
00000769,9,5,8.3,7.6
00007610,10,8.6,10,6.5
00000771,1,8.0,10,5
00000772,2,9.2,7.1,5.5
00000773,3,10,7.5,10
00000774,4,5,7.7,7.2
00000775,5,7.0,5.3,10
00000776,6,9.7,7.2,9.0
00000777,7,10,8.0,7.1
00000778,8,5.1,5,10
00000779,9,10,5,10
00007710,10,8.2,6.4,8.0
00000781,1,7.9,5.9,6.2
00000782,2,5.1,10,10
00000783,3,10,10,6.8
00000784,4,7.6,10,5
00000785,5,8.0,8.0,8.6
00000786,6,8.7,5,5
00000787,7,8.8,8.4,9.1
00000788,8,5,8.0,9.3
00000789,9,7.8,7.3,7.8
00007810,10,9.5,5,8.2
00000791,1,10,5,5
00000792,2,5,6.0,7.8
00000793,3,10,9.4,6.7
00000794,4,7.9,8.9,7.9
00000795,5,7.5,6.0,7.8
00000796,6,5,5,9.7
00000797,7,10,5.7,7.5
00000798,8,5,8.5,10
00000799,9,10,7.1,8.8
00007910,10,7.0,8.3,10
00000801,1,10,5.8,6.9
00000802,2,5.9,5,5
00000803,3,5.9,5.7,10
00000804,4,10,5.7,7.5
00000805,5,5,9.2,7.3
00000806,6,6.0,7.2,10
00000807,7,6.2,10,10
00000808,8,5,7.5,10
00000809,9,7.9,7.6,8.6
00008010,10,6.8,6.7,6.9
00000811,1,5,5,10
00000812,2,7.9,8.5,6.4
00000813,3,7.5,8.3,8.3
00000814,4,10,6.1,9.0
00000815,5,5.7,8.5,8.9
00000816,6,5.5,9.3,5
00000817,7,7.2,7.1,8.6
00000818,8,9.1,5,8.1
00000819,9,6.1,8.5,5
00008110,10,10,5,9.2
00000821,1,8.9,5,6.1
00000822,2,8.3,10,10
00000823,3,7.0,9.8,6.8
00000824,4,8.5,9.3,5
00000825,5,9.5,5,10
00000826,6,10,7.2,6.7
00000827,7,5,5.1,8.0
00000828,8,6.4,9.7,10
00000829,9,9.0,10,8.3
00008210,10,8.5,6.6,6.8
00000831,1,6.1,5,5
00000832,2,10,7.1,5
00000833,3,7.7,8.0,8.3
00000834,4,8.1,10,6.1
00000835,5,10,7.4,7.7
00000836,6,6.5,7.4,10
00000837,7,7.9,9.4,10
00000838,8,5,5.4,5.7
00000839,9,6.3,9.2,7.5
00008310,10,10,9.0,7.5
00000841,1,10,6.7,5
00000842,2,6.0,9.4,5.8
00000843,3,7.6,9.6,5
00000844,4,7.9,10,6.9
00000845,5,9.7,8.8,7.2
00000846,6,5,10,5
00000847,7,8.1,10,5.8
00000848,8,6.8,5.5,5
00000849,9,7.8,7.3,10
00008410,10,5,7.7,9.0
00000851,1,10,10,10
00000852,2,8.3,10,7.4
00000853,3,8.3,8.8,5.3
00000854,4,10,8.8,5
00000855,5,6.9,10,7.6
00000856,6,8.0,5,9.8
00000857,7,5.3,5,9.8
00000858,8,10,9.7,7.8
00000859,9,6.1,10,7.8
00008510,10,8.6,8.5,8.0
00000861,1,9.5,10,10
00000862,2,5.4,6.6,7.6
00000863,3,10,10,5.6
00000864,4,5,10,9.0
00000865,5,5.6,9.5,8.4
00000866,6,8.7,5.3,8.8
00000867,7,6.4,9.6,7.7
00000868,8,7.1,10,8.9
00000869,9,10,5,6.0
00008610,10,5,9.3,5
00000871,1,6.6,6.1,9.1
00000872,2,10,10,7.9
00000873,3,8.0,8.9,7.8
00000874,4,7.6,5,8.0
00000875,5,10,10,5.8
00000876,6,9.8,5,9.1
00000877,7,6.5,6.8,5
00000878,8,9.3,5,5
00000879,9,8.3,8.9,10.0
00008710,10,8.0,10,10
00000881,1,5.6,8.3,8.2
00000882,2,8.7,10,10
00000883,3,9.7,5,8.7
00000884,4,5,9.9,5
00000885,5,9.5,6.2,7.8
00000886,6,9.8,8.7,5
00000887,7,9.9,7.4,7.1
00000888,8,8.4,6.9,10
00000889,9,7.3,10,8.2
00008810,10,10,5,7.4
00000891,1,10,10,8.4
00000892,2,6.5,7.6,9.9
00000893,3,9.0,5,10
00000894,4,8.3,10,8.8
00000895,5,8.4,6.7,7.5
